Sno,Stack_Type,Process_Status,N_Min_Max_Type,Measurement_Method,Height
1,A,As_Stamped,Min,Vernier_Caliper,54.32
2,A,As_Stamped,Min,Vernier_Caliper,54.23
3,A,As_Stamped,Min,Vernier_Caliper,54.28
4,A,As_Stamped,Min,Vernier_Caliper,54.13
5,A,As_Stamped,Min,Vernier_Caliper,54.17
6,A,As_Stamped,Min,Vernier_Caliper,54.13
7,A,As_Stamped,Min,Vernier_Caliper,54.21
8,A,As_Stamped,Min,Vernier_Caliper,54.38
9,A,As_Stamped,Min,Vernier_Caliper,54.17
10,A,As_Stamped,Min,Vernier_Caliper,54.12
11,A,As_Stamped,Min,Vernier_Caliper,54.16
12,A,As_Stamped,Min,Vernier_Caliper,54.08
13,A,As_Stamped,Min,Vernier_Caliper,53.99
14,A,As_Stamped,Min,Vernier_Caliper,54.03
15,A,As_Stamped,Min,Vernier_Caliper,54.06
16,A,As_Stamped,Min,Vernier_Caliper,54.12
17,A,As_Stamped,Min,Vernier_Caliper,54.14
18,A,As_Stamped,Min,Vernier_Caliper,54.03
19,A,As_Stamped,Min,Vernier_Caliper,54.2
20,A,As_Stamped,Min,Vernier_Caliper,54.16
21,A,As_Stamped,Min,Vernier_Caliper,54.16
22,A,As_Stamped,Min,Vernier_Caliper,54.12
23,A,As_Stamped,Min,Vernier_Caliper,53.95
24,A,As_Stamped,Min,Vernier_Caliper,54.23
25,A,As_Stamped,Min,Vernier_Caliper,54.08
26,A,As_Stamped,Max,Vernier_Caliper,54.81
27,A,As_Stamped,Max,Vernier_Caliper,54.74
28,A,As_Stamped,Max,Vernier_Caliper,54.75
29,A,As_Stamped,Max,Vernier_Caliper,54.52
30,A,As_Stamped,Max,Vernier_Caliper,54.32
31,A,As_Stamped,Max,Vernier_Caliper,54.38
32,A,As_Stamped,Max,Vernier_Caliper,54.39
33,A,As_Stamped,Max,Vernier_Caliper,54.82
34,A,As_Stamped,Max,Vernier_Caliper,54.37
35,A,As_Stamped,Max,Vernier_Caliper,54.65
36,A,As_Stamped,Max,Vernier_Caliper,54.43
37,A,As_Stamped,Max,Vernier_Caliper,54.32
38,A,As_Stamped,Max,Vernier_Caliper,54.26
39,A,As_Stamped,Max,Vernier_Caliper,54.27
40,A,As_Stamped,Max,Vernier_Caliper,54.3
41,A,As_Stamped,Max,Vernier_Caliper,54.35
42,A,As_Stamped,Max,Vernier_Caliper,54.35
43,A,As_Stamped,Max,Vernier_Caliper,54.28
44,A,As_Stamped,Max,Vernier_Caliper,54.37
45,A,As_Stamped,Max,Vernier_Caliper,54.48
46,A,As_Stamped,Max,Vernier_Caliper,54.43
47,A,As_Stamped,Max,Vernier_Caliper,54.38
48,A,As_Stamped,Max,Vernier_Caliper,54.28
49,A,As_Stamped,Max,Vernier_Caliper,54.39
50,A,As_Stamped,Max,Vernier_Caliper,54.22
51,A,After_Rehit,Min,Vernier_Caliper,50.4
52,A,After_Rehit,Min,Vernier_Caliper,50.41
53,A,After_Rehit,Min,Vernier_Caliper,50.39
54,A,After_Rehit,Min,Vernier_Caliper,50.35
55,A,After_Rehit,Min,Vernier_Caliper,50.25
56,A,After_Rehit,Min,Vernier_Caliper,50.08
57,A,After_Rehit,Min,Vernier_Caliper,50.2
58,A,After_Rehit,Min,Vernier_Caliper,50.19
59,A,After_Rehit,Min,Vernier_Caliper,50.06
60,A,After_Rehit,Min,Vernier_Caliper,50.63
61,A,After_Rehit,Min,Vernier_Caliper,50.43
62,A,After_Rehit,Min,Vernier_Caliper,50.33
63,A,After_Rehit,Min,Vernier_Caliper,50.38
64,A,After_Rehit,Min,Vernier_Caliper,50.38
65,A,After_Rehit,Min,Vernier_Caliper,50.26
66,A,After_Rehit,Min,Vernier_Caliper,50.31
67,A,After_Rehit,Min,Vernier_Caliper,50.35
68,A,After_Rehit,Min,Vernier_Caliper,50.29
69,A,After_Rehit,Min,Vernier_Caliper,50.46
70,A,After_Rehit,Min,Vernier_Caliper,50.25
71,A,After_Rehit,Min,Vernier_Caliper,50.42
72,A,After_Rehit,Min,Vernier_Caliper,50.4
73,A,After_Rehit,Min,Vernier_Caliper,50.46
74,A,After_Rehit,Min,Vernier_Caliper,50.41
75,A,After_Rehit,Min,Vernier_Caliper,50.41
76,A,After_Rehit,Max,Vernier_Caliper,50.58
77,A,After_Rehit,Max,Vernier_Caliper,50.57
78,A,After_Rehit,Max,Vernier_Caliper,50.62
79,A,After_Rehit,Max,Vernier_Caliper,50.63
80,A,After_Rehit,Max,Vernier_Caliper,50.49
81,A,After_Rehit,Max,Vernier_Caliper,50.3
82,A,After_Rehit,Max,Vernier_Caliper,50.47
83,A,After_Rehit,Max,Vernier_Caliper,50.48
84,A,After_Rehit,Max,Vernier_Caliper,50.28
85,A,After_Rehit,Max,Vernier_Caliper,50.84
86,A,After_Rehit,Max,Vernier_Caliper,50.62
87,A,After_Rehit,Max,Vernier_Caliper,50.58
88,A,After_Rehit,Max,Vernier_Caliper,50.59
89,A,After_Rehit,Max,Vernier_Caliper,50.55
90,A,After_Rehit,Max,Vernier_Caliper,50.58
91,A,After_Rehit,Max,Vernier_Caliper,50.53
